GrainType,ID,Area,Perimeter,Circularity,IsOutlier
Basmati,5,2320.5,239.485,0.508432,0
Basmati,6,1750.5,216.644,0.468683,0
Basmati,7,2501.5,239.975,0.545854,0
Basmati,8,2530.5,257.199,0.480706,0
Basmati,9,2288,233.719,0.526353,0
Basmati,10,2528,243.243,0.536916,0
Basmati,11,2727.5,260.585,0.504751,0
Basmati,12,2468,242.721,0.526431,0
Basmati,13,2333.5,244.547,0.490335,0
Basmati,14,2386.5,240.382,0.518998,0
Basmati,15,2492,234.377,0.570069,0
Basmati,16,2586.5,245.787,0.538027,0
Basmati,17,2447.5,250.712,0.489308,0
Basmati,18,2225.5,229.904,0.52911,0
Basmati,19,2349,251.868,0.465316,0
Basmati,20,1989.5,239.305,0.436568,0
Basmati,21,2305.5,239.489,0.505129,0
Basmati,22,2379,242.21,0.50959,0
Basmati,23,2127,228.142,0.513532,0
Basmati,24,2466.5,245.961,0.51234,0
Basmati,25,2336.5,222.871,0.591113,0
Basmati,26,2182.5,219.399,0.569765,0
Basmati,27,2154.5,208.727,0.62144,0
Basmati,28,2252.5,225.04,0.558928,0
Basmati,29,2412,242.633,0.514856,0
Basmati,30,2497.5,242.907,0.531907,0
Basmati,31,2480.5,244.664,0.520727,0
Basmati,32,2976.5,270.957,0.509467,0
Basmati,33,3897.5,314.835,0.494118,1
Basmati,34,2082,215.404,0.563876,0
Basmati,35,2464.5,250.599,0.493152,0
Basmati,36,2389.5,242.813,0.5093,0
Basmati,37,1957.5,210.424,0.555548,0
Basmati,38,2520.5,254.26,0.489937,0
Basmati,39,2351.5,252.957,0.461808,0
Basmati,40,2612,244.422,0.549419,0
Basmati,41,2424.5,234.977,0.5518,0
Basmati,42,2414.5,249.04,0.489214,0
Basmati,43,1178.5,146.095,0.693852,1
Basmati,44,2802.5,273.043,0.472381,0
Basmati,45,2279.5,239.716,0.498488,0
Basmati,46,2473,251.646,0.490744,0
Basmati,47,2740.5,249.654,0.552539,0
Basmati,48,2057.5,226.82,0.502557,0
Basmati,49,2230.5,231.487,0.523068,0
Basmati,50,2274,227.211,0.553532,0
Basmati,51,2137,238.407,0.472471,0
Basmati,52,2237,237.299,0.499212,0
Basmati,53,2247.5,248.162,0.458605,0
Basmati,54,2458,242.941,0.523348,0
Basmati,55,2338.5,212.85,0.648634,0
Basmati,56,2622,255.69,0.503982,0
Basmati,57,2004.5,225.651,0.494699,0
Basmati,58,2082,229.111,0.498422,0
Basmati,59,2296.5,235.114,0.522058,0
Basmati,60,2178,237.49,0.485263,0
Basmati,61,1999,204.394,0.60129,0
Basmati,62,2543.5,249.04,0.51535,0
Basmati,63,2300,250.583,0.460294,0
Basmati,64,2464.5,254.033,0.47991,0
Basmati,65,2161.5,229.56,0.515435,0
Basmati,66,2889,274.327,0.482415,0
Basmati,67,1762.5,205.332,0.525321,0
Basmati,68,2573,248.592,0.523209,0
Basmati,69,1516,172.534,0.639972,0
Basmati,70,2244.5,229.088,0.537434,0
Basmati,71,1917.5,220.379,0.49614,0
Basmati,72,1855,214.979,0.504383,0
Basmati,73,2306.5,238.309,0.510368,0
Basmati,74,2227.5,232.21,0.519116,0
Basmati,75,2521.5,223.963,0.63171,0
